epoch,train_loss,test_acc@1,test_acc@5
1,7.1015379925568896,38.22,87.33
2,6.752839068571727,43.45,90.56
3,6.641055554151535,44.56,91.49000000000001
4,6.576374351978302,46.61,92.67999999999999
5,6.51208754380544,48.49,93.35
6,6.468495885531108,50.9,94.11
7,6.434932092825572,51.85999999999999,94.34
8,6.4064614574114485,53.690000000000005,95.19999999999999
9,6.377410610516866,53.15,94.69
10,6.37063929438591,56.38999999999999,95.78
11,6.338391065597534,57.489999999999995,96.09
12,6.322787523269653,58.91,96.43
13,6.308628688255946,60.3,96.56
14,6.292584538459778,61.96,97.11
15,6.278422842423121,61.89,97.18
